ID,NAME,CPU,MEM
1554242564,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,4.391MiB
1554242564,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,4.402MiB
1554242564,0ef2f3a07fa0,peer1.org1.samtest.com,1.24%,67.96MiB
1554242564,4728e0375b9b,peer0.org1.samtest.com,1.27%,68.02MiB
1554242564,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242564,4b983eea8f32,orderer.samtest.com,0.00%,8.867MiB
1554242566,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,4.391MiB
1554242566,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,4.402MiB
1554242566,0ef2f3a07fa0,peer1.org1.samtest.com,1.93%,68.02MiB
1554242566,4728e0375b9b,peer0.org1.samtest.com,2.00%,68.11MiB
1554242566,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242566,4b983eea8f32,orderer.samtest.com,0.63%,8.883MiB
1554242568,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,4.656MiB
1554242568,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,4.633MiB
1554242568,0ef2f3a07fa0,peer1.org1.samtest.com,1.33%,68.17MiB
1554242568,4728e0375b9b,peer0.org1.samtest.com,1.29%,68.2MiB
1554242568,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242568,4b983eea8f32,orderer.samtest.com,0.00%,8.887MiB
1554242570,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,4.656MiB
1554242570,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,4.633MiB
1554242570,0ef2f3a07fa0,peer1.org1.samtest.com,1.19%,68.17MiB
1554242570,4728e0375b9b,peer0.org1.samtest.com,1.20%,68.2MiB
1554242570,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242570,4b983eea8f32,orderer.samtest.com,0.00%,8.887MiB
1554242572,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,4.656MiB
1554242572,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,4.633MiB
1554242572,0ef2f3a07fa0,peer1.org1.samtest.com,1.35%,68.17MiB
1554242572,4728e0375b9b,peer0.org1.samtest.com,1.35%,68.2MiB
1554242572,9133afb5e401,ca.org1.samtest.com,0.01%,4.719MiB
1554242572,4b983eea8f32,orderer.samtest.com,0.23%,8.891MiB
1554242574,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,4.957MiB
1554242574,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,4.973MiB
1554242574,0ef2f3a07fa0,peer1.org1.samtest.com,1.35%,68.32MiB
1554242574,4728e0375b9b,peer0.org1.samtest.com,1.33%,68.31MiB
1554242574,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242574,4b983eea8f32,orderer.samtest.com,0.93%,9.508MiB
1554242576,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,4.957MiB
1554242576,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,4.973MiB
1554242576,0ef2f3a07fa0,peer1.org1.samtest.com,1.20%,68.32MiB
1554242576,4728e0375b9b,peer0.org1.samtest.com,1.20%,68.31MiB
1554242576,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242576,4b983eea8f32,orderer.samtest.com,0.00%,9.508MiB
1554242578,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,4.957MiB
1554242578,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,4.973MiB
1554242578,0ef2f3a07fa0,peer1.org1.samtest.com,1.19%,68.32MiB
1554242578,4728e0375b9b,peer0.org1.samtest.com,1.24%,68.31MiB
1554242578,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242578,4b983eea8f32,orderer.samtest.com,0.25%,10.14MiB
1554242580,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,5.023MiB
1554242580,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,5.039MiB
1554242580,0ef2f3a07fa0,peer1.org1.samtest.com,1.03%,68.42MiB
1554242580,4728e0375b9b,peer0.org1.samtest.com,1.06%,68.45MiB
1554242580,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242580,4b983eea8f32,orderer.samtest.com,0.00%,10.82MiB
1554242582,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,5.023MiB
1554242582,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,5.039MiB
1554242582,0ef2f3a07fa0,peer1.org1.samtest.com,1.25%,68.42MiB
1554242582,4728e0375b9b,peer0.org1.samtest.com,1.28%,68.45MiB
1554242582,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242582,4b983eea8f32,orderer.samtest.com,0.01%,10.82MiB
1554242584,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,5.023MiB
1554242584,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,5.039MiB
1554242584,0ef2f3a07fa0,peer1.org1.samtest.com,1.33%,68.42MiB
1554242584,4728e0375b9b,peer0.org1.samtest.com,1.33%,68.45MiB
1554242584,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242584,4b983eea8f32,orderer.samtest.com,0.21%,10.82MiB
1554242586,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.93%,5.098MiB
1554242586,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.85%,5.367MiB
1554242586,0ef2f3a07fa0,peer1.org1.samtest.com,3.23%,68.52MiB
1554242586,4728e0375b9b,peer0.org1.samtest.com,3.61%,68.57MiB
1554242586,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242586,4b983eea8f32,orderer.samtest.com,0.89%,10.84MiB
1554242589,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,5.098MiB
1554242589,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,5.367MiB
1554242589,0ef2f3a07fa0,peer1.org1.samtest.com,1.05%,68.52MiB
1554242589,4728e0375b9b,peer0.org1.samtest.com,1.08%,68.57MiB
1554242589,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242589,4b983eea8f32,orderer.samtest.com,0.00%,10.84MiB
1554242591,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,0.00%,5.098MiB
1554242591,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,0.00%,5.367MiB
1554242591,0ef2f3a07fa0,peer1.org1.samtest.com,1.34%,68.52MiB
1554242591,4728e0375b9b,peer0.org1.samtest.com,1.48%,68.57MiB
1554242591,9133afb5e401,ca.org1.samtest.com,0.00%,4.719MiB
1554242591,4b983eea8f32,orderer.samtest.com,0.00%,10.84MiB
1554242593,e44e0f03e740,samtest-peer0.org1.samtest.com-samtest-service-3.25,1.23%,5.121MiB
1554242593,c0edfd4bf9db,samtest-peer1.org1.samtest.com-samtest-service-3.25,1.17%,5.465MiB
