ID,NAME,CPU,MEM
1554251572,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.523MiB
1554251572,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.543MiB
1554251572,0ef2f3a07fa0,peer1.org1.samtest.com,1.10%,26.77MiB
1554251572,4728e0375b9b,peer0.org1.samtest.com,1.08%,28.36MiB
1554251572,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251572,4b983eea8f32,orderer.samtest.com,0.00%,10.66MiB
1554251574,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.523MiB
1554251574,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.543MiB
1554251574,0ef2f3a07fa0,peer1.org1.samtest.com,1.11%,26.77MiB
1554251574,4728e0375b9b,peer0.org1.samtest.com,1.51%,28.36MiB
1554251574,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251574,4b983eea8f32,orderer.samtest.com,0.00%,10.66MiB
1554251576,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.98%,5.531MiB
1554251576,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,1.02%,5.551MiB
1554251576,0ef2f3a07fa0,peer1.org1.samtest.com,7.05%,26.9MiB
1554251576,4728e0375b9b,peer0.org1.samtest.com,7.31%,28.42MiB
1554251576,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251576,4b983eea8f32,orderer.samtest.com,0.58%,10.66MiB
1554251578,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.531MiB
1554251578,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.551MiB
1554251578,0ef2f3a07fa0,peer1.org1.samtest.com,1.14%,26.9MiB
1554251578,4728e0375b9b,peer0.org1.samtest.com,1.09%,28.42MiB
1554251578,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251578,4b983eea8f32,orderer.samtest.com,0.00%,10.66MiB
1554251580,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.531MiB
1554251580,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.551MiB
1554251580,0ef2f3a07fa0,peer1.org1.samtest.com,1.23%,26.9MiB
1554251580,4728e0375b9b,peer0.org1.samtest.com,1.28%,28.42MiB
